Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Included / International,Price / International,Compare At Price / International,Status
5495_pineapple_lunch_box,5495 Pineapple Shaped Lunch Box with Compartments Lunch Food Container with Box Portable Lid School & Kids Lunch Box,"<span data-mce-fragment=""1""><strong>5495 Pineapple Shaped Lunch Box with Compartments Lunch Food Container with Box Portable Lid School &amp; Kids Lunch Box </strong><br></span><span data-mce-fragment=""1""><br><strong>Description :- </strong><br></span>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Durability: Made from high-quality materials, lunch box is durable and can withstand frequent use. is also easy to clean and resistant to water and stains.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">🍍Unique Design: pineapple shape lunch box is eye-catching and stands out from traditional lunch box designs. is quirky, fun, and sure to turn heads.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">🍍Environmentally-Friendly: lunch box is reusable, reducing waste from single-use plastic containers and promoting sustainability.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">🍍Versatility: shape and size lunch box make versatile for packing a variety foods, from sandwiches to fruit to snacks. lid also doubles as a making convenient for on go eating.</span></li>
</ul>
<span data-mce-fragment=""1""><br><strong>Dimension :- <br><br></strong>Volu. Weight (Gm) :- 548<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Product Weight (Gm) :- 186<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Ship Weight (Gm) :- 548<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Length (Cm) :- 21<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Breadth (Cm) :- 16<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Height (Cm) :- 8<strong><br data-mce-fragment=""1""></strong></span>",your brand,,Lunch Box,"Kitchen Storage/Lunch Box/Tiffin, Loose",TRUE,Title,Default Title,,,,,5495_Pineapple_lunch_box,548,shopify,60,deny,manual,310,399,TRUE,TRUE,5495_Pineapple_lunch_box,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/PineAppleShape.jpg?v=1695708433,1,,FALSE,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5495_pineapple_lunch_box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/d08b5ccf-791e-4d59-b044-87d61e15bd37.jpg?v=1695708433,2,,,,,,,,,,,,,,,,,,,,,,,,
5495_pineapple_lunch_box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/4_328ac056-c3dd-4453-96ac-1a1e88acbca3.jpg?v=1695708433,3,,,,,,,,,,,,,,,,,,,,,,,,
5495_pineapple_lunch_box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/51VW4SRF-kL._AC_SL1001.jpg?v=1695708433,4,,,,,,,,,,,,,,,,,,,,,,,,
5495_pineapple_lunch_box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/5_465005ed-677d-4793-b3ce-59fcd7042d3c.jpg?v=1695708433,5,,,,,,,,,,,,,,,,,,,,,,,,
5495_pineapple_lunch_box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/2_2aa1b373-2764-4f95-9025-543074b1e044.jpg?v=1695708433,6,,,,,,,,,,,,,,,,,,,,,,,,
5495_pineapple_lunch_box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/3_9d5b9855-d00f-424b-9273-7ddfea96c9f0.jpg?v=1695708433,7,,,,,,,,,,,,,,,,,,,,,,,,
5495_pineapple_lunch_box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/616o9irNSvL._AC_SL1001.jpg?v=1695708433,8,,,,,,,,,,,,,,,,,,,,,,,,
5495_pineapple_lunch_box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/9f587013-c14e-4457-b1bc-23b0248e30ef.jpg?v=1695708819,9,,,,,,,,,,,,,,,,,,,,,,,,
5883_silicone_cooking_brush,"5883  Silicone Pastry Brush Heat Resistant Basting Baking Brush, Kitchen Silicon Oil Basting Brush Multi-Purpose Silicone Durable Easy Use | Oil Cooking Brush for Grilling, Tandoor, Cooking, Baking, BBQ/Brush for Cooking (1Pc, 22 Cm)","<style type=""text/css"" data-mce-fragment=""1""><!--
td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}
--></style>
<strong>5883  Silicone Pastry Brush Heat Resistant Basting Baking Brush, Kitchen Silicon Oil Basting Brush Multi-Purpose Silicone Durable Easy Use | Oil Cooking Brush for Grilling, Tandoor, Cooking, Baking, BBQ/Brush for Cooking (1Pc, 22 Cm)</strong><br><br><strong>Description:-</strong><br><br>
<ul class=""a-unordered-list a-vertical a-spacing-mini"" data-mce-fragment=""1"">
<li class=""a-spacing-mini"" data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">High-Quality Material: Made of food-grade heatproof silicone environmental safe materials Handle made of good quality plastic, our silicone baking oil brushes are BPA Free, odorless, and healthy to use. It can withstand high temperatures up to 230℃.<br><br></span></li>
<li class=""a-spacing-mini"" data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">Use in Any Pan on the Stovetop, In the Oven, Microwave, or Freezer | These silicone baking basting brushes' sizes are about 20x4x1 cms. Small and lightweight, easy and portable to carry out or go camping.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Easy to Clean: Unlike nylon brushes, the silicone brush is very easy to clean, bristles do not shed, and don’t remain greasy after cleaning.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Useful Kitchen Brush: This kitchen brush for cooking has 4 rows of silicone coated bristles, can hold a generous amount of liquid and spread your food more evenly.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Multiple Uses: Silicone brush cooking can be used for cooking, barbecue, kitchen, grilling, roasting, baking.<br><br></span></li>
<li class=""a-spacing-mini"" data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">Multi Purpose &amp; Easy to Use</span></li>
</ul>
<br><strong>Dimension:-<br><br></strong>Volu. Weight (Gm) :- 63<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Product Weight (Gm) :- 37<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Ship Weight (Gm) :- 63<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Length (Cm) :- 22<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Breadth (Cm) :- 6<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Height (Cm) :- 2<strong><br data-mce-fragment=""1""><br></strong>",your brand,,Kitchen Accessories,"Kitchen & Home Appliances, plastic packing",TRUE,Title,Default Title,,,,,5883_silicone_cooking_brush,63,shopify,3000,deny,manual,42,199,TRUE,TRUE,5883_silicone_cooking_brush,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/05_ccc2ce8d-e7aa-4ba4-9861-330eaf92c1c4.jpg?v=1695711595,1,,FALSE,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5883_silicone_cooking_brush,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/489f466d-c75a-49c0-b2b7-6de66edb7274.jpg?v=1695711595,2,,,,,,,,,,,,,,,,,,,,,,,,
5883_silicone_cooking_brush,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/03_e6712874-dd1d-4197-9058-6e81ff687a94.jpg?v=1695711595,3,,,,,,,,,,,,,,,,,,,,,,,,
5883_silicone_cooking_brush,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/04_b4dac32e-4cb9-4008-990f-46ee716ea451.jpg?v=1695711595,4,,,,,,,,,,,,,,,,,,,,,,,,
5883_silicone_cooking_brush,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/02_e92c9faa-5f2f-4ae0-b0b5-a427019650b4.jpg?v=1695711595,5,,,,,,,,,,,,,,,,,,,,,,,,
5883_silicone_cooking_brush,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/705714f0-c3c6-4043-be45-92c9d0dd1d32.jpg?v=1695711595,6,,,,,,,,,,,,,,,,,,,,,,,,
